DBMS	EXPERIMENTNAME	RUNID	BATCHSETID	PK	NUMPROCESSORS	ACTROWPOOL	PCTREAD	PCTUPDATE	ATP	MAXMPL
db2	pk-xt-1M-1000-120-1	1351	7207	1	1	.25	0	25	6.47154020288525668429408365479465909523E01	1100
db2	pk-xt-1M-1000-120-1	1351	7246	1	1	.5	0	25	6.52336578881003178019568149681655096397E01	1100
db2	pk-xt-1M-1000-120-1	1351	7286	1	1	.75	0	25	7.75811998995049584140602725598665335516E01	1100
db2	pk-xt-1M-1000-120-1	1351	7306	1	1	1	0	25	7.83864471336751674291855456945817343174E01	1100
db2	pk-xt-1M-1000-120-1	1351	7327	1	1	.25	0	50	7.08066450186206537414289050911233902533E01	1100
db2	pk-xt-1M-1000-120-1	1351	7366	1	1	.5	0	50	7.49740451870261063195120041445753151073E01	1100
db2	pk-xt-1M-1000-120-1	1351	7406	1	1	.75	0	50	8.21201035776317764442606497259388775176E01	1100
db2	pk-xt-1M-1000-120-1	1351	7427	1	1	1	0	50	8.76164520344154692901144366590344490638E01	1100
db2	pk-xt-1M-1000-120-1	1351	7467	1	1	.25	0	75	6.59220261549960786933476847589836436693E01	1100
db2	pk-xt-1M-1000-120-1	1351	7506	1	1	.5	0	75	7.0411446517553494786146471186626953736E01	1100
db2	pk-xt-1M-1000-120-1	1351	7546	1	1	.75	0	75	7.56523110500913407730892861930730275631E01	1100
db2	pk-xt-1M-1000-120-1	1351	7587	1	1	1	0	75	8.49448659001124093298679033080363136434E01	1100
db2	pk-xt-1M-1000-120-1	1351	7627	1	1	.25	0	100	6.92762295314142816786032691573371378493E01	1100
db2	pk-xt-1M-1000-120-1	1351	7666	1	1	.5	0	100	5.74502062212829458918195400723883673604E01	1100
db2	pk-xt-1M-1000-120-1	1351	7686	1	1	.75	0	100	6.76341553409778439490857772725508991327E01	1100
db2	pk-xt-1M-1000-120-1	1351	7706	1	1	1	0	100	7.70073178330759009125548121880948422873E01	100
db2	pk-xt-1M-1000-120-1	1351	7726	1	1	.25	.01	0	4.50347437203799413778042595774364893458E01	1100
db2	pk-xt-1M-1000-120-1	1351	7747	1	1	.5	.01	0	6.64389228747714448524078880670535414522E01	1100
db2	pk-xt-1M-1000-120-1	1351	7766	1	1	.75	.01	0	4.30412828686017157884857073690702676852E01	700
db2	pk-xt-1M-1000-120-1	1351	7786	1	1	1	.01	0	5.24535884380965757188537820154967849988E01	200
db2	pk-xt-1M-1000-120-1	1351	8126	1	1	.25	.1	0	7.19025648465940203099325206133622316216E01	1100
db2	pk-xt-1M-1000-120-1	1351	8146	1	1	.5	.1	0	4.84523831581429344325346575835222520761E01	1100
db2	pk-xt-1M-1000-120-1	1351	8166	1	1	.75	.1	0	4.31268250203043214839465557268138235609E01	800
db2	pk-xt-1M-1000-120-1	1351	8186	1	1	1	.1	0	6.64763794814015795423401641587461985013E01	1100
db2	pk-xt-1M-1000-120-1	1351	8526	1	1	.25	1	0	5.16523346830417041873478748589039067259E01	1100
db2	pk-xt-1M-1000-120-1	1351	8547	1	1	.5	1	0	4.39985714255244961090470550224865634776E01	300
db2	pk-xt-1M-1000-120-1	1351	8567	1	1	.75	1	0	5.1951148108062390224035671754343581746E01	200
